가해당사자종,피해당사자종,사고건수,사망자수,중상자수,경상자수,부상신고자수
이륜차,특수차,47,4,20,37,5
이륜차,이륜차,1932,6,798,1611,227
이륜차,사륜오토바이(ATV),4,0,1,4,0
이륜차,원동기장치자전거,38,0,11,35,7
이륜차,자전거,486,0,197,304,37
이륜차,개인형이동수단(PM),62,1,21,42,9
이륜차,건설기계,72,14,23,24,14
이륜차,농기계,13,1,6,6,1
이륜차,보행자,2680,30,1249,1609,220
이륜차,기타/불명,1839,190,663,726,387
사륜오토바이(ATV),승용차,94,6,25,93,14
사륜오토바이(ATV),승합차,9,2,2,7,1
사륜오토바이(ATV),화물차,37,1,24,18,3
사륜오토바이(ATV),이륜차,6,1,3,4,1
사륜오토바이(ATV),사륜오토바이(ATV),4,0,2,2,0
사륜오토바이(ATV),원동기장치자전거,3,0,1,2,0
사륜오토바이(ATV),자전거,5,0,1,5,0
사륜오토바이(ATV),건설기계,2,0,0,1,1
사륜오토바이(ATV),농기계,1,0,1,0,0
사륜오토바이(ATV),보행자,21,0,11,10,2
사륜오토바이(ATV),기타/불명,122,20,52,37,20
원동기장치자전거,승용차,1276,14,287,1185,271
원동기장치자전거,승합차,93,3,26,57,25
원동기장치자전거,화물차,177,10,63,97,35
원동기장치자전거,특수차,4,0,1,3,1
원동기장치자전거,이륜차,50,0,26,32,2
원동기장치자전거,사륜오토바이(ATV),2,0,3,2,0
원동기장치자전거,원동기장치자전거,222,0,90,174,33
원동기장치자전거,자전거,99,0,39,59,12
원동기장치자전거,개인형이동수단(PM),4,0,2,3,1
원동기장치자전거,건설기계,13,0,4,5,4
원동기장치자전거,농기계,4,0,5,0,0
원동기장치자전거,보행자,459,4,205,277,33
원동기장치자전거,기타/불명,271,25,91,109,70
자전거,승용차,2244,28,513,1212,575
자전거,승합차,240,5,52,148,66
자전거,화물차,408,11,94,211,96
자전거,특수차,9,1,2,4,2
자전거,이륜차,266,2,73,173,80
자전거,사륜오토바이(ATV),2,0,3,1,0
자전거,원동기장치자전거,46,0,17,27,10
자전거,자전거,888,2,369,556,210
자전거,개인형이동수단(PM),17,0,9,13,3
자전거,건설기계,25,1,9,9,6
자전거,농기계,2,0,2,0,0
자전거,보행자,1187,9,421,703,170
자전거,기타/불명,333,24,96,108,107
개인형이동수단(PM),승용차,304,3,66,194,92
개인형이동수단(PM),승합차,17,1,3,9,4
개인형이동수단(PM),화물차,43,1,10,20,12
개인형이동수단(PM),이륜차,49,0,7,41,12
개인형이동수단(PM),원동기장치자전거,4,0,3,3,0
개인형이동수단(PM),자전거,55,0,23,36,11
개인형이동수단(PM),개인형이동수단(PM),9,0,3,7,0
개인형이동수단(PM),건설기계,4,1,1,1,1
개인형이동수단(PM),보행자,304,0,85,209,26
개인형이동수단(PM),기타/불명,108,4,33,40,33
건설기계,승용차,1557,3,359,1973,67
건설기계,승합차,78,0,46,154,13
건설기계,화물차,264,4,103,281,11
건설기계,특수차,13,0,5,14,1
건설기계,이륜차,118,6,56,57,4
건설기계,사륜오토바이(ATV),4,0,3,1,0
건설기계,원동기장치자전거,10,1,4,5,1
건설기계,자전거,50,9,29,12,0
건설기계,개인형이동수단(PM),2,1,0,1,0
건설기계,건설기계,48,1,20,46,5
건설기계,농기계,10,1,3,10,0
건설기계,보행자,224,41,119,68,8
건설기계,기타/불명,60,10,24,18,9
농기계,승용차,136,1,40,148,10
농기계,승합차,14,0,1,19,3
농기계,화물차,64,1,22,47,9
농기계,이륜차,14,1,8,8,0
농기계,원동기장치자전거,2,1,1,0,0
농기계,자전거,3,0,1,2,0
농기계,건설기계,6,1,3,2,1
농기계,농기계,3,0,2,1,0
농기계,보행자,14,2,7,5,0
농기계,기타/불명,111,42,45,26,6
기타/불명,승용차,890,0,75,885,183
기타/불명,승합차,127,0,13,131,20
기타/불명,화물차,109,2,16,92,22
기타/불명,특수차,4,0,2,2,0
기타/불명,이륜차,470,0,103,238,143
기타/불명,사륜오토바이(ATV),3,0,1,4,0
기타/불명,원동기장치자전거,64,0,10,38,16
기타/불명,자전거,321,0,71,155,98
기타/불명,개인형이동수단(PM),17,0,2,9,6
기타/불명,건설기계,8,0,1,7,1
기타/불명,농기계,1,0,1,0,1
기타/불명,보행자,1373,0,173,803,414
기타/불명,기타/불명,59,1,10,32,20
